,0
1822,1113
1823,1646
1824,1046
1825,1886
1826,1396
1827,1142
1828,1295
1829,3158
1830,274
1831,328
1832,645
1833,1660
1834,1666
1835,1568
1836,309
1837,455
1838,2730
1839,984
1840,3102
1841,120
1842,2716
1843,3007
1844,827
1845,2407
1846,3017
1847,2076
1848,542
1849,2627
1850,2533
1851,1170
1852,3156
1853,509
1854,2735
1855,2709
1856,1934
1857,1724
1858,971
1859,809
1860,1510
1861,2163
1862,2
1863,1399
1864,2874
1865,142
1866,518
1867,451
1868,846
1869,2659
1870,125
1871,1734
1872,807
1873,1315
1874,593
1875,3173
1876,873
1877,906
1878,155
1879,394
1880,1073
1881,2222
1882,349
1883,1570
1884,136
1885,695
1886,472
1887,2656
1888,3174
1889,1302
1890,1066
1891,1277
1892,347
1893,278
1894,343
1895,2154
1896,408
1897,3123
1898,2586
1899,1342
1900,1332
1901,1856
1902,164
1903,1990
1904,3063
1905,301
1906,600
1907,3188
1908,8
1909,2799
1910,3179
1911,3165
1912,543
1913,1673
1914,3141
1915,881
1916,407
1917,361
1918,677
1919,864
1920,708
1921,896
1922,534
1923,15
1924,3199
1925,2962
1926,1708
1927,3215
1928,2923
1929,3226
1930,955
1931,624
1932,2000
1933,646
1934,2125
1935,454
1936,2631
1937,856
1938,492
1939,1008
1940,3183
1941,1176
1942,1019
1943,790
1944,1024
1945,2765
1946,715
1947,1753
1948,641
1949,755
1950,44
1951,141
1952,748
1953,2444
1954,556
1955,116
1956,3201
1957,337
1958,829
1959,927
1960,1284
1961,1010
1962,701
1963,1202
1964,1536
1965,290
1966,3129
1967,63
1968,2732
1969,1029
1970,861
1971,788
1972,167
1973,122
1974,603
1975,101
1976,27
1977,961
1978,163
1979,3151
1980,782
1981,1355
1982,959
1983,547
1984,2802
1985,228
1986,1962
1987,1092
1988,127
1989,2280
1990,399
1991,729
1992,668
1993,1495
1994,1017
1995,762
1996,2360
1997,1404
1998,35
1999,617
2000,1069
2001,17
2002,767
2003,813
2004,1588
2005,536
2006,2092
2007,853
2008,2643
2009,1039
2010,682
2011,1418
2012,2170
2013,2007
2014,207
2015,2792
2016,757
2017,1814
2018,1489
2019,1006
2020,969
2021,579
2022,596
2023,824
2024,2622
2025,1697
2026,908
2027,1301
2028,281
2029,692
2030,478
2031,2297
2032,2247
2033,651
2034,1168
2035,456
2036,198
2037,232
2038,635
2039,341
2040,220
2041,3127
2042,222
2043,2744
2044,346
2045,3130
2046,1186
2047,132
2048,575
2049,250
2050,58
2051,1574
2052,1340
2053,3195
2054,2907
2055,121
2056,693
2057,285
2058,419
2059,1045
2060,3208
2061,754
2062,705
2063,221
2064,2214
2065,460
2066,953
2067,1680
2068,2091
2069,1567
2070,170
2071,2850
2072,1720
2073,165
2074,3116
2075,271
2076,1035
2077,882
2078,3059
2079,3058
2080,2276
2081,2910
2082,133
2083,2854
2084,32
2085,869
2086,461
2087,2791
2088,298
2089,3003
2090,981
2091,503
2092,621
2093,440
2094,216
2095,2397
2096,1559
2097,480
2098,664
2099,359
2100,2418
2101,65
2102,3064
2103,257
2104,948
2105,255
2106,1539
2107,1961
2108,2660
2109,526
2110,3202
2111,859
2112,401
2113,699
2114,515
2115,1918
2116,3131
2117,2555
2118,525
2119,87
2120,818
2121,1005
2122,886
2123,2096
2124,1601
2125,115
2126,1256
2127,1505
2128,270
2129,1722
2130,3196
2131,720
2132,1816
2133,62
2134,847
2135,926
2136,2696
2137,947
2138,3175
2139,420
2140,3167
2141,1041
2142,3147
2143,1951
2144,118
2145,3178
2146,963
2147,1
2148,61
2149,276
2150,486
2151,3216
2152,672
2153,482
2154,3132
2155,3133
2156,362
2157,940
2158,3139
2159,2736
2160,784
2161,188
2162,950
2163,666
2164,976
2165,3114
2166,342
2167,997
2168,139
2169,112
2170,562
2171,973
2172,357
2173,2058
2174,519
2175,1309
2176,2697
2177,383
2178,1690
2179,283
2180,2534
2181,1910
2182,2244
2183,931
2184,3206
2185,918
2186,202
2187,2171
2188,3187
2189,3198
2190,974
2191,3182
2192,3164
2193,249
2194,1815
2195,935
2196,354
2197,792
2198,2804
2199,980
2200,3105
2201,932
2202,3119
2203,578
2204,3150
2205,2590
2206,3145
2207,114
2208,675
2209,2427
2210,831
2211,3214
2212,3193
2213,3146
2214,2711
2215,1032
2216,3177
2217,3223
2218,3189
2219,1715
2220,3213
2221,3211
2222,1043
2223,128
